CMDLINE ./parallel_webparser
MEM 1.761719 1540180594.6083
MEM 12.003906 1540180594.7089
MEM 12.527344 1540180594.8094
MEM 21.734375 1540180594.9097
MEM 21.734375 1540180595.0100
MEM 22.250000 1540180595.1103
MEM 23.695312 1540180595.2106
MEM 27.968750 1540180595.3110
MEM 27.968750 1540180595.4113
MEM 29.011719 1540180595.5117
MEM 35.195312 1540180595.6121
MEM 35.195312 1540180595.7126
MEM 36.476562 1540180595.8130
MEM 37.507812 1540180595.9133
MEM 40.105469 1540180596.0138
MEM 41.386719 1540180596.1142
MEM 45.261719 1540180596.2145
MEM 46.035156 1540180596.3148
MEM 46.292969 1540180596.4152
MEM 47.324219 1540180596.5156
MEM 48.871094 1540180596.6160
MEM 49.902344 1540180596.7164
MEM 51.707031 1540180596.8167
MEM 54.285156 1540180596.9171
MEM 55.105469 1540180597.0174
MEM 56.652344 1540180597.1179
MEM 60.519531 1540180597.2183
MEM 60.519531 1540180597.3187
MEM 61.550781 1540180597.4191
MEM 66.707031 1540180597.5194
MEM 67.738281 1540180597.6199
MEM 67.738281 1540180597.7203
MEM 71.453125 1540180597.8207
MEM 74.042969 1540180597.9210
MEM 74.300781 1540180598.0215
MEM 75.613281 1540180598.1219
MEM 76.894531 1540180598.2223
MEM 77.148438 1540180598.3228
MEM 77.148438 1540180598.4235
