CMDLINE ./webparser
MEM 1.832031 1540181451.3281
MEM 11.710938 1540181451.4285
MEM 11.710938 1540181451.5291
MEM 11.710938 1540181451.6297
MEM 12.203125 1540181451.7302
MEM 12.535156 1540181451.8307
MEM 14.398438 1540181451.9313
MEM 14.656250 1540181452.0316
MEM 16.285156 1540181452.1321
MEM 16.542969 1540181452.2327
MEM 16.542969 1540181452.3334
MEM 16.542969 1540181452.4342
MEM 16.542969 1540181452.5350
MEM 16.542969 1540181452.6355
MEM 16.542969 1540181452.7359
MEM 16.542969 1540181452.8366
MEM 16.542969 1540181452.9370
MEM 16.542969 1540181453.0375
MEM 17.832031 1540181453.1378
MEM 17.832031 1540181453.2384
MEM 17.832031 1540181453.3390
MEM 17.832031 1540181453.4396
MEM 17.832031 1540181453.5403
MEM 17.832031 1540181453.6407
MEM 17.832031 1540181453.7412
MEM 17.832031 1540181453.8417
MEM 17.832031 1540181453.9424
MEM 17.832031 1540181454.0430
MEM 17.832031 1540181454.1437
MEM 18.863281 1540181454.2442
MEM 18.863281 1540181454.3448
MEM 18.863281 1540181454.4455
MEM 18.863281 1540181454.5463
MEM 18.863281 1540181454.6467
MEM 18.863281 1540181454.7473
MEM 18.863281 1540181454.8480
MEM 18.863281 1540181454.9487
MEM 19.378906 1540181455.0492
MEM 19.894531 1540181455.1498
MEM 19.894531 1540181455.2504
MEM 19.894531 1540181455.3512
MEM 19.894531 1540181455.4518
MEM 19.894531 1540181455.5526
MEM 19.894531 1540181455.6534
MEM 20.152344 1540181455.7537
MEM 20.925781 1540181455.8542
MEM 20.925781 1540181455.9548
MEM 20.925781 1540181456.0555
MEM 20.925781 1540181456.1562
MEM 20.925781 1540181456.2569
MEM 20.925781 1540181456.3577
MEM 20.925781 1540181456.4585
MEM 21.183594 1540181456.5591
MEM 21.957031 1540181456.6596
MEM 21.957031 1540181456.7602
MEM 21.957031 1540181456.8609
MEM 21.957031 1540181456.9616
MEM 21.957031 1540181457.0624
MEM 21.957031 1540181457.1631
MEM 21.957031 1540181457.2639
MEM 21.957031 1540181457.3646
MEM 21.957031 1540181457.4653
MEM 21.957031 1540181457.5661
MEM 21.957031 1540181457.6668
MEM 21.957031 1540181457.7675
MEM 21.957031 1540181457.8682
MEM 22.214844 1540181457.9688
MEM 22.988281 1540181458.0693
MEM 22.988281 1540181458.1699
MEM 22.988281 1540181458.2705
MEM 22.988281 1540181458.3713
MEM 22.988281 1540181458.4720
MEM 22.988281 1540181458.5727
MEM 22.988281 1540181458.6732
MEM 22.988281 1540181458.7738
MEM 23.246094 1540181458.8745
MEM 23.246094 1540181458.9749
MEM 24.019531 1540181459.0752
MEM 24.019531 1540181459.1757
MEM 24.019531 1540181459.2764
MEM 24.019531 1540181459.3771
MEM 24.019531 1540181459.4778
MEM 24.019531 1540181459.5786
MEM 24.019531 1540181459.6793
MEM 24.019531 1540181459.7800
MEM 24.019531 1540181459.8806
MEM 24.019531 1540181459.9813
MEM 24.277344 1540181460.0817
MEM 25.050781 1540181460.1822
MEM 25.050781 1540181460.2828
MEM 25.050781 1540181460.3835
MEM 25.050781 1540181460.4842
MEM 25.050781 1540181460.5848
MEM 25.050781 1540181460.6853
MEM 25.050781 1540181460.7860
MEM 25.050781 1540181460.8867
MEM 25.308594 1540181460.9873
MEM 25.308594 1540181461.0881
MEM 25.308594 1540181461.1888
MEM 25.308594 1540181461.2894
MEM 25.308594 1540181461.3902
MEM 25.308594 1540181461.4908
MEM 25.308594 1540181461.5915
MEM 26.082031 1540181461.6919
MEM 26.082031 1540181461.7926
MEM 26.082031 1540181461.8933
MEM 26.082031 1540181461.9939
MEM 26.855469 1540181462.0943
MEM 27.113281 1540181462.1948
MEM 27.113281 1540181462.2954
MEM 27.113281 1540181462.3961
MEM 27.113281 1540181462.4968
MEM 27.113281 1540181462.5975
MEM 27.113281 1540181462.6983
MEM 27.113281 1540181462.7991
MEM 27.113281 1540181462.8998
MEM 27.113281 1540181463.0005
MEM 27.886719 1540181463.1009
MEM 28.144531 1540181463.2015
MEM 28.144531 1540181463.3019
MEM 28.144531 1540181463.4025
MEM 28.144531 1540181463.5032
MEM 28.144531 1540181463.6038
MEM 28.144531 1540181463.7046
MEM 28.917969 1540181463.8050
MEM 28.917969 1540181463.9056
MEM 28.917969 1540181464.0063
MEM 28.917969 1540181464.1071
MEM 28.917969 1540181464.2078
MEM 28.917969 1540181464.3085
MEM 28.917969 1540181464.4091
MEM 29.433594 1540181464.5096
MEM 29.949219 1540181464.6102
MEM 29.949219 1540181464.7107
MEM 29.949219 1540181464.8113
MEM 29.949219 1540181464.9120
MEM 29.949219 1540181465.0127
MEM 29.949219 1540181465.1135
MEM 29.949219 1540181465.2143
MEM 30.207031 1540181465.3150
MEM 30.464844 1540181465.4157
MEM 30.464844 1540181465.5163
MEM 30.980469 1540181465.6168
MEM 30.980469 1540181465.7172
MEM 30.980469 1540181465.8177
MEM 30.980469 1540181465.9184
MEM 30.980469 1540181466.0191
MEM 30.980469 1540181466.1199
MEM 30.980469 1540181466.2205
MEM 30.980469 1540181466.3211
MEM 31.496094 1540181466.4216
MEM 32.011719 1540181466.5220
MEM 32.011719 1540181466.6225
MEM 32.011719 1540181466.7232
MEM 32.011719 1540181466.8239
MEM 32.011719 1540181466.9244
MEM 32.011719 1540181467.0251
MEM 32.011719 1540181467.1259
MEM 32.011719 1540181467.2266
MEM 32.269531 1540181467.3270
MEM 33.042969 1540181467.4275
MEM 33.042969 1540181467.5282
MEM 33.042969 1540181467.6290
MEM 33.042969 1540181467.7297
MEM 33.042969 1540181467.8305
MEM 33.042969 1540181467.9312
MEM 33.042969 1540181468.0320
MEM 33.300781 1540181468.1324
MEM 34.074219 1540181468.2330
MEM 34.074219 1540181468.3337
MEM 34.074219 1540181468.4342
MEM 34.074219 1540181468.5346
MEM 34.074219 1540181468.6351
MEM 34.074219 1540181468.7358
MEM 34.074219 1540181468.8366
MEM 34.847656 1540181468.9370
MEM 34.847656 1540181469.0376
MEM 34.847656 1540181469.1383
MEM 35.105469 1540181469.2389
MEM 35.105469 1540181469.3395
MEM 35.878906 1540181469.4398
MEM 35.878906 1540181469.5404
MEM 35.878906 1540181469.6410
MEM 35.878906 1540181469.7417
MEM 35.878906 1540181469.8425
MEM 35.878906 1540181469.9431
MEM 35.878906 1540181470.0439
MEM 35.878906 1540181470.1446
MEM 35.878906 1540181470.2452
MEM 36.394531 1540181470.3456
MEM 36.910156 1540181470.4463
MEM 36.910156 1540181470.5470
MEM 36.910156 1540181470.6477
MEM 37.167969 1540181470.7482
MEM 37.167969 1540181470.8488
MEM 38.199219 1540181470.9493
MEM 38.199219 1540181471.0499
MEM 38.199219 1540181471.1507
MEM 38.199219 1540181471.2514
MEM 38.199219 1540181471.3522
MEM 38.199219 1540181471.4526
MEM 38.199219 1540181471.5531
MEM 38.199219 1540181471.6537
MEM 38.199219 1540181471.7544
MEM 38.457031 1540181471.8551
MEM 38.714844 1540181471.9556
MEM 39.230469 1540181472.0560
MEM 39.230469 1540181472.1567
MEM 39.230469 1540181472.2574
MEM 39.230469 1540181472.3581
MEM 39.230469 1540181472.4589
MEM 39.230469 1540181472.5596
MEM 39.230469 1540181472.6604
MEM 39.230469 1540181472.7611
MEM 39.230469 1540181472.8618
MEM 39.230469 1540181472.9626
MEM 39.230469 1540181473.0634
MEM 39.230469 1540181473.1640
MEM 39.488281 1540181473.2644
MEM 39.488281 1540181473.3648
MEM 40.003906 1540181473.4653
MEM 40.003906 1540181473.5659
MEM 40.003906 1540181473.6666
MEM 40.003906 1540181473.7674
MEM 40.519531 1540181473.8678
MEM 41.035156 1540181473.9684
MEM 41.035156 1540181474.0691
MEM 41.035156 1540181474.1699
MEM 41.035156 1540181474.2707
MEM 41.035156 1540181474.3713
MEM 41.035156 1540181474.4721
MEM 41.035156 1540181474.5728
MEM 41.035156 1540181474.6735
MEM 41.035156 1540181474.7743
MEM 41.035156 1540181474.8750
MEM 41.292969 1540181474.9758
MEM 41.292969 1540181475.0765
MEM 42.066406 1540181475.1770
MEM 42.066406 1540181475.2777
MEM 42.066406 1540181475.3785
MEM 42.066406 1540181475.4792
MEM 42.066406 1540181475.5799
MEM 42.066406 1540181475.6806
MEM 42.066406 1540181475.7813
MEM 42.066406 1540181475.8820
MEM 42.066406 1540181475.9826
MEM 43.097656 1540181476.0831
MEM 43.097656 1540181476.1838
