CMDLINE ./webparser https://www.kabum.com.br/computadores/computador-gamer
MEM 1.828125 1540186230.9651
MEM 11.992188 1540186231.0654
MEM 11.992188 1540186231.1658
MEM 13.750000 1540186231.2661
MEM 14.523438 1540186231.3667
MEM 14.781250 1540186231.4672
MEM 15.769531 1540186231.5675
MEM 16.546875 1540186231.6680
MEM 16.546875 1540186231.7684
MEM 16.546875 1540186231.8689
MEM 16.546875 1540186231.9694
MEM 16.546875 1540186232.0700
MEM 16.546875 1540186232.1705
MEM 16.546875 1540186232.2710
MEM 16.546875 1540186232.3716
MEM 16.546875 1540186232.4720
MEM 16.546875 1540186232.5725
MEM 16.546875 1540186232.6730
MEM 16.546875 1540186232.7734
MEM 16.546875 1540186232.8739
MEM 16.546875 1540186232.9744
MEM 16.546875 1540186233.0750
MEM 16.546875 1540186233.1756
MEM 16.546875 1540186233.2763
MEM 16.546875 1540186233.3769
MEM 16.546875 1540186233.4776
MEM 16.546875 1540186233.5783
MEM 16.546875 1540186233.6786
MEM 16.546875 1540186233.7792
MEM 16.546875 1540186233.8798
MEM 16.546875 1540186233.9804
MEM 16.546875 1540186234.0811
MEM 16.546875 1540186234.1818
MEM 16.546875 1540186234.2826
MEM 16.546875 1540186234.3832
MEM 16.804688 1540186234.4840
MEM 16.804688 1540186234.5847
MEM 16.804688 1540186234.6851
MEM 17.835938 1540186234.7856
MEM 17.835938 1540186234.8864
MEM 17.835938 1540186234.9871
MEM 17.835938 1540186235.0879
MEM 17.835938 1540186235.1886
MEM 17.835938 1540186235.2893
MEM 17.835938 1540186235.3901
MEM 17.835938 1540186235.4908
MEM 17.835938 1540186235.5914
MEM 17.835938 1540186235.6918
MEM 17.835938 1540186235.7923
MEM 17.835938 1540186235.8929
MEM 18.093750 1540186235.9936
MEM 18.093750 1540186236.0944
MEM 18.093750 1540186236.1948
MEM 18.093750 1540186236.2953
MEM 18.093750 1540186236.3958
MEM 18.093750 1540186236.4963
MEM 18.093750 1540186236.5968
MEM 18.093750 1540186236.6971
MEM 18.093750 1540186236.7977
MEM 18.093750 1540186236.8984
MEM 18.093750 1540186236.9992
MEM 18.093750 1540186237.0999
MEM 18.093750 1540186237.2006
MEM 18.093750 1540186237.3013
MEM 18.093750 1540186237.4020
MEM 18.093750 1540186237.5026
MEM 19.125000 1540186237.6031
MEM 19.125000 1540186237.7034
MEM 19.125000 1540186237.8040
MEM 19.125000 1540186237.9045
MEM 19.125000 1540186238.0052
MEM 19.125000 1540186238.1058
MEM 19.125000 1540186238.2066
MEM 19.125000 1540186238.3072
MEM 19.125000 1540186238.4079
MEM 19.125000 1540186238.5086
MEM 19.125000 1540186238.6093
MEM 19.125000 1540186238.7097
MEM 19.125000 1540186238.8104
MEM 19.125000 1540186238.9112
MEM 19.125000 1540186239.0118
MEM 19.125000 1540186239.1124
MEM 19.125000 1540186239.2132
MEM 19.382812 1540186239.3139
MEM 19.382812 1540186239.4147
MEM 19.382812 1540186239.5154
MEM 19.382812 1540186239.6162
MEM 19.382812 1540186239.7164
